registry_key,output_file_path,source_family,source_info_path,source_registry_path,name_blank,name_en_blank,description_blank,description_en_blank,action_count_written
molecular_devices_backend,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_molecular_devices_backend.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/molecular_devices_backend/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/molecular_devices_backend/registry.yaml,false,false,false,false,19
bx2_a,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_bx2_a.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/bx2_a/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/bx2_a/registry.yaml,false,false,false,false,8
ixbx,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_ixbx.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/ixbx/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/ixbx/registry.yaml,false,false,false,false,10
ix2,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_ix2.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/ix2/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/ix2/registry.yaml,false,false,false,false,8
olympus_ix81_halogen_lamp,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_olympus_ix81_halogen_lamp.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/olympus_ix81_halogen_lamp/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/olympus_ix81_halogen_lamp/registry.yaml,false,false,false,false,3
open_bci_board,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_open_bci_board.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/open_bci_board/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/open_bci_board/registry.yaml,false,false,false,false,20
streamer_lsl,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_streamer_lsl.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/streamer_lsl/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/streamer_lsl/registry.yaml,false,false,false,false,10
atc_backend,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_atc_backend.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/atc_backend/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/atc_backend/registry.yaml,false,false,false,false,2
opentrons_thermocycler_usb_backend,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_opentrons_thermocycler_usb_backend.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/opentrons_thermocycler_usb_backend/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/opentrons_thermocycler_usb_backend/registry.yaml,false,false,false,false,25
opentrons_thermocycler_backend,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_opentrons_thermocycler_backend.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/opentrons_thermocycler_backend/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/opentrons_thermocycler_backend/registry.yaml,false,false,false,false,20
ptc,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_ptc.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/ptc/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/ptc/registry.yaml,false,false,false,false,19
pro_scan_iii,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_pro_scan_iii.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/pro_scan_iii/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/pro_scan_iii/registry.yaml,false,false,false,false,1
__pro_scan_iii_connection,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info___pro_scan_iii_connection.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/__pro_scan_iii_connection/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/__pro_scan_iii_connection/registry.yaml,false,false,false,false,13
thermo_fisher_thermocycler_backend,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_thermo_fisher_thermocycler_backend.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/thermo_fisher_thermocycler_backend/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/thermo_fisher_thermocycler_backend/registry.yaml,false,false,false,false,47
incubator_stx,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_incubator_stx.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/incubator_stx/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/incubator_stx/registry.yaml,false,false,false,false,7
